slug,car_autohome_brand_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
car_autohome_brand_82,82,7686.0,,广汽传祺,,,,,",guangqichuanqi,广汽传祺,guangqichuanqi",,,,a9b185fbb8e2a14042bf31532dfb216a.png,,G,1,,,a9b185fbb8e2a14042bf31532dfb216a.png?imageView2/1/w/80/h/80/,guangqichuanqi,Y,,0,B,1,0,,国产
huachen,83,62.0,5.0,金杯,,http://www.ganji.com/huachen/,,7908.0,",jinbei,金杯,jinbei",,,,d55ce8f525f23591c87f5b5252ce64c3.png,,J,1,,,d55ce8f525f23591c87f5b5252ce64c3.png?imageView2/1/w/80/h/80/,jinbei,Y,,0,B,1,0,,国产
jianghuai,84,69.0,5.0,江淮,,http://www.ganji.com/jianghuai/,,7915.0,",jianghuai,江淮,jianghuai",,,,8e990615eb487f0a15c9a0e6deaddee9.png,,J,1,,,8e990615eb487f0a15c9a0e6deaddee9.png?imageView2/1/w/80/h/80/,jianghuai,Y,,0,B,1,0,,国产
huapu,85,57.0,5.0,华普,,http://www.ganji.com/huapu/,,7903.0,",huapu,华普,huapu",,,,10b29a51426ce403d37ca729606d9f49.png,,H,1,,,10b29a51426ce403d37ca729606d9f49.png?imageView2/1/w/80/h/80/,huapu,Y,,0,B,1,0,,国产
haima,86,55.0,5.0,海马,,http://www.ganji.com/haima/,,7901.0,",haima,海马,haima",,,,f658849f997a6dfc643053fc948f41e3.png,,H,1,,,a9c97ae8f44e98bbaead46e44a5ff7be.png?imageView2/1/w/80/h/80/,haima,Y,,0,B,1,0,,国产
car_autohome_brand_87,87,7687.0,,华泰,,,,,",huatai,华泰,huatai",,,,f017cb9a4cb81e302ac96a1677c23478.png,,H,1,,,f017cb9a4cb81e302ac96a1677c23478.png?imageView2/1/w/80/h/80/,huatai,Y,,0,B,1,0,,国产
lufeng,88,91.0,5.0,陆风,,http://www.ganji.com/lufeng/,,7937.0,",lufeng,陆风,lufeng",,,,8e737deba0ab843ef685b07d35ff5895.png,,L,1,,,8e737deba0ab843ef685b07d35ff5895.png?imageView2/1/w/80/h/80/,lufeng,Y,,0,B,1,0,,国产
lotus,89,82.0,5.0,莲花汽车,,http://www.ganji.com/lotus/,,7928.0,",lianhuaqiche,莲花汽车,lianhuaqiche",,,,3ecba15daa93f5ff6b8d20be250b8128.png,,L,1,,,3ecba15daa93f5ff6b8d20be250b8128.png?imageView2/1/w/80/h/80/,lianhuaqiche,Y,,0,B,1,0,,欧系
shuanghuan,90,113.0,5.0,双环,,http://www.ganji.com/shuanghuan/,,7959.0,",shuanghuan,双环,shuanghuan",,,,e4ea943789611383b6230e91740fcddf.png,,S,1,,,e4ea943789611383b6230e91740fcddf.png?imageView2/1/w/80/h/80/,shuanghuan,Y,,0,B,1,0,,国产
hongqi,91,58.0,5.0,红旗,,http://www.ganji.com/hongqi/,,7904.0,",hongqi,红旗,hongqi",,,,20c29a195065a482d93dde36bcd0a10d.png,,H,1,,,20c29a195065a482d93dde36bcd0a10d.png?imageView2/1/w/80/h/80/,hongqi,Y,,0,B,1,0,,国产
