slug,car_autohome_model_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
jnmS70,4519,2992.0,,君马S70,,,jnmqch,,",junmaS70,君马S70,junmaS70",中型SUV,,,b87469efd59607326989f27865bef865.png,君马汽车,J,1,,mid_suv,b87469efd59607326989f27865bef865.png?imageView2/1/w/160/h/80/,junmaS70,Y,国产,0,B,1,0,君马S70,
jnmSEEK5,4696,3087.0,,君马SEEK 5(赛克5),,,jnmqch,,",junmaSEEK 5(saike5),君马SEEK 5(赛克5),junmaSEEK 5(saike5)",中型SUV,,,6c20c5ef8a87c10669cc90f5ea61a790.png,君马汽车,J,1,,mid_suv,6c20c5ef8a87c10669cc90f5ea61a790.png?imageView2/1/w/160/h/80/,junmaSEEK 5(saike5),Y,国产,0,B,1,0,君马SEEK 5(赛克5),
car_autohome_model_4484,4484,3467.0,,宇通T7,,,car_autohome_brand_298,,",yutongT7,宇通T7,yutongT7",轻客,,,057f0b8ce13e8d4b75c69f44122b6943.png,宇通客车,Y,1,,,057f0b8ce13e8d4b75c69f44122b6943.png?imageView2/1/w/160/h/80/,yutongT7,Y,国产,0,B,1,0,宇通T7,
car_autohome_model_4909,4909,3468.0,,宇通CL6,,,car_autohome_brand_298,,",yutongCL6,宇通CL6,yutongCL6",轻客,,,ae6a4316443251dd519f9f17d410e208.png,宇通客车,Y,1,,,ae6a4316443251dd519f9f17d410e208.png?imageView2/1/w/160/h/80/,yutongCL6,Y,国产,0,B,1,0,宇通CL6,
car_autohome_model_3311,3311,3469.0,,长安V5,,,car_autohome_brand_299,,",changanV5,长安V5,changanV5",微面,,,fea370787e4bda79eb950a051cc213a2.png,长安跨越,C,1,,,fea370787e4bda79eb950a051cc213a2.png?imageView2/1/w/160/h/80/,changanV5,Y,国产,0,B,1,0,长安V5,
car_autohome_model_4182,4182,3471.0,,新豹MINI,,,car_autohome_brand_299,,",xinbaoMINI,新豹MINI,xinbaoMINI",微卡,,,d091831f6fdb0e81c5d4541bde0bd731.png,长安跨越,X,1,,,d091831f6fdb0e81c5d4541bde0bd731.png?imageView2/1/w/160/h/80/,xinbaoMINI,Y,国产,0,B,1,0,新豹MINI,
car_autohome_model_4319,4319,3472.0,,跨越王,,,car_autohome_brand_299,,",kuayuewang,跨越王,kuayuewang",微卡,,,9b79472f0793183d6b6756e5a154c1fb.png,长安跨越,K,1,,,9b79472f0793183d6b6756e5a154c1fb.png?imageView2/1/w/160/h/80/,kuayuewang,Y,国产,0,B,1,0,跨越王,
dodV8,4511,2997.0,,道达V8,,,dod,,",daodaV8,道达V8,daodaV8",MPV,,,bb9aed7e28845592afde8840971bbb73.png,北汽瑞丽,D,1,,mpv,bb9aed7e28845592afde8840971bbb73.png?imageView2/1/w/160/h/80/,daodaV8,Y,国产,0,B,1,0,道达V8,
car_autohome_model_4758,4758,3477.0,,鑫源X30L,,,car_autohome_brand_306,,",xinyuanX30L,鑫源X30L,xinyuanX30L",微面,,,450d0ee71e3de779f4c041b8cd185906.png,华晨鑫源,X,1,,,450d0ee71e3de779f4c041b8cd185906.png?imageView2/1/w/160/h/80/,xinyuanX30L,Y,国产,0,B,1,0,鑫源X30L,
car_autohome_model_4574,4574,3478.0,,裕路EV2,,,car_autohome_brand_307,,",yuluEV2,裕路EV2,yuluEV2",微型车,,,4e8b063589afb67f8b159aee5df064e3.png,裕路汽车,Y,1,,,4e8b063589afb67f8b159aee5df064e3.png?imageView2/1/w/160/h/80/,yuluEV2,Y,国产,0,B,1,0,裕路EV2,
