id,name,parent
54,大同,6
53,太原,6
62,忻州,6
56,晋中,6
58,晋城,6
63,朔州,6
61,运城,6
57,长治,6
55,阳泉,6
67,乌兰察布,7
66,乌海,7
74,兴安,7
65,包头,7
73,呼伦贝尔,7
64,呼和浩特,7
71,巴彦淖尔,7
69,赤峰,7
68,通辽,7
70,鄂尔多斯,7
72,锡林郭勒,7
75,阿拉善,7
81,丹东,8
77,大连,8
79,抚顺,8
87,朝阳,8
80,本溪,8
76,沈阳,8
88,盘锦,8
83,营口,8
89,葫芦岛,8
85,辽阳,8
86,铁岭,8
82,锦州,8
84,阜新,8
78,鞍山,8
91,吉林,9
93,四平,9
92,延边,9
97,松原,9
95,白城,9
98,白山,9
96,辽源,9
94,通化,9
90,长春,9
